Month,Season,State,High,Low,Precipitation,TempRange,HighLowMean
1,Winter,Alabama,13.4,1.4,13.4,12,7.4
1,Winter,Alaska,-11.8,-19.1,7.2,7.3,-15.45
1,Winter,Arizona,13.2,-0.8,3,14,6.2
1,Winter,Arkansas,10,-0.9,9.7,10.9,4.55
1,Winter,California,12.6,1.7,10.5,10.9,7.15
1,Winter,Colorado,3.8,-10.2,2.7,14,-3.2
1,Winter,Connecticut,2.2,-7.5,9.1,9.7,-2.65
1,Winter,Delaware,6.6,-3.1,8.5,9.7,1.75
1,Winter,Florida,20.8,8.4,8.3,12.4,14.6
1,Winter,Georgia,14.3,2,11.4,12.3,8.15
1,Winter,Hawaii,25,16.9,9.7,8.1,20.95
1,Winter,Idaho,0.7,-8.3,7.2,9,-3.8
1,Winter,Illinois,1.5,-7.4,5.9,8.9,-2.95
1,Winter,Indiana,2,-6.8,7.5,8.8,-2.4
1,Winter,Iowa,-2.2,-11.7,2.5,9.5,-6.95
1,Winter,Kansas,5.9,-7,1.8,12.9,-0.55
1,Winter,Kentucky,6.4,-3.7,9.5,10.1,1.35
1,Winter,Louisiana,15.6,4.3,14.4,11.3,9.95
1,Winter,Maine,-4.1,-14.6,8.3,10.5,-9.35
1,Winter,Maryland,5.9,-3.7,8.1,9.6,1.1
1,Winter,Massachusetts,1.6,-8.3,9.3,9.9,-3.35
1,Winter,Michigan,-2.4,-10.7,5.3,8.3,-6.55
1,Winter,Minnesota,-7.1,-17.3,2,10.2,-12.2
1,Winter,Mississippi,13.3,1.8,13.8,11.5,7.55
1,Winter,Missouri,4.6,-5.9,5.4,10.5,-0.65
1,Winter,Montana,-0.7,-11.5,3,10.8,-6.1
1,Winter,Nebraska,2.4,-10.1,1.2,12.5,-3.85
1,Winter,Nevada,6.4,-5.5,3,11.9,0.45
1,Winter,New Hampshire,-1.9,-12.5,8.4,10.6,-7.2
1,Winter,New Jersey,4.6,-4.9,8.9,9.5,-0.15
1,Winter,New Mexico,9.8,-5.7,1.7,15.5,2.05
1,Winter,New York,-1,-10.6,7.8,9.6,-5.8
1,Winter,North Carolina,10.7,-0.9,10,11.6,4.9
1,Winter,North Dakota,-6.7,-17.2,1.2,10.5,-11.95
1,Winter,Ohio,2.1,-6.5,7.4,8.6,-2.2
1,Winter,Oklahoma,10,-3,4,13,3.5
1,Winter,Oregon,5,-3.3,11.5,8.3,0.85
1,Winter,Pennsylvania,1.5,-7.5,8.2,9,-3
1,Winter,Rhode Island,3.1,-6.3,10,9.4,-1.6
1,Winter,South Carolina,13.6,1.3,9.7,12.3,7.45
1,Winter,South Dakota,-1.9,-13.2,1.2,11.3,-7.55
1,Winter,Tennessee,8.6,-2,11.7,10.6,3.3
1,Winter,Texas,15.3,1.6,4.4,13.7,8.45
1,Winter,Utah,3.5,-7.9,3.1,11.4,-2.2
1,Winter,Vermont,-2.9,-13.4,7.9,10.5,-8.15
1,Winter,Virginia,7.5,-3.3,8.6,10.8,2.1
1,Winter,Washington,3,-3.2,15.8,6.2,-0.1
